pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,target
-0.0022896142,0.1477627,0.0402922,-0.0015578866,-0.07932436,-0.12522453,0.037841152,0.2,-0.09876407,-0.2,1
-0.20228961,0.28782338,0.05110225,0.1191402,-0.19119494,-0.024266146,0.003572356,0.18418656,-0.24347165,-0.31844088,1
-0.36320716,0.32204744,-0.1355096,0.07606658,-0.22872989,0.032400075,-0.07532135,-0.01581344,-0.19252455,-0.5184409,1
-0.16320716,0.12204744,-0.0054263175,0.15207341,-0.3188401,-0.16759993,-0.052550904,0.18418656,-0.25396493,-0.44737437,1
0.036792845,0.32204744,-0.017517256,0.03775616,-0.29378632,0.03240007,0.06520463,0.06176927,-0.25326273,-0.31911522,1
0.23679285,0.18921672,-0.21751726,-0.024837755,-0.38872367,0.13956305,0.26520464,0.15150896,-0.43528348,-0.11911522,1
0.28995404,0.30530548,-0.12995996,-0.11084292,-0.20161666,0.03245327,0.28160983,0.17942303,-0.63528347,-0.16835086,1
0.46729207,0.2677081,-0.32995996,-0.14266676,-0.18146001,-0.14323403,0.48160982,0.34461808,-0.4385119,-0.14242615,1
0.42124596,0.25922906,-0.3315394,-0.1415024,-0.16481803,0.056765974,0.6816098,0.27067527,-0.6156899,-0.20710853,1
0.28410798,0.3160542,-0.5315394,-0.1554769,-0.26724178,0.091442436,0.8411145,0.35501185,-0.4156899,-0.33811703,1
0.48410797,0.35410854,-0.34873685,-0.18642607,-0.26592013,0.25555366,0.8657863,0.55501187,-0.6156899,-0.30290198,1
0.3491035,0.27094424,-0.14873685,-0.10395801,-0.25492015,0.21223523,0.6657863,0.38884026,-0.4156899,-0.251945,1
0.45948207,0.070944235,-0.34851062,-0.05872694,-0.18457162,0.1802681,0.677756,0.58884025,-0.21568988,-0.29529563,1
0.27513248,-0.024170227,-0.21568203,-0.060524937,0.015428379,0.2622414,0.73647195,0.78884023,-0.069026485,-0.34074968,1
0.3245423,0.070135884,-0.11382688,-0.114551894,0.21542838,0.4554603,0.6927348,0.60298866,0.0025719032,-0.54074967,1
0.52454233,-0.093493156,0.086173125,-0.21513985,0.08769399,0.6554603,0.67060363,0.80298865,-0.1974281,-0.74074966,1
0.59075516,0.04354515,0.09617445,-0.1041325,0.033153474,0.8554603,0.5049623,1.0029887,0.0025718957,-0.6936947,1
0.509483,-0.058332637,0.29617447,-0.07377354,-0.039343216,0.6554603,0.49174428,1.1304661,-0.1974281,-0.7216393,1
0.64603317,-0.062461827,0.09617446,-0.07835121,-0.1402295,0.8554603,0.43916702,1.3304662,-0.3974281,-0.6833071,1
0.81753874,-0.07138464,-0.10382554,-0.0172096,-0.057609245,1.0554603,0.34293836,1.5304662,-0.35686135,-0.7090575,1
0.7289621,-0.13555428,-0.14768498,0.025718976,-0.18398413,1.2554604,0.14293836,1.5841665,-0.5412079,-0.7572921,1
0.9289621,-0.28514254,-0.079159655,0.17262593,-0.06818343,1.0554603,0.0796249,1.7841666,-0.7412079,-0.9572921,1
1.1289622,-0.44168764,0.12084035,0.16687845,-0.15522933,1.2498065,0.10378811,1.5841665,-0.6713092,-0.88212353,1
0.98953235,-0.24168764,-0.032851033,0.09543114,-0.22458154,1.4498066,-0.096211895,1.7841666,-0.87130916,-0.92551595,1
0.8034577,-0.041687638,-0.1394568,0.1838786,-0.22725739,1.2498065,-0.15204601,1.5868986,-0.76515454,-1.1255159,1
0.88731766,-0.1302645,-0.33106688,0.22201836,-0.027257383,1.0498065,-0.29395983,1.7868986,-0.85100496,-1.0200181,1
