episode,wall_seconds,global.global_obj,global.local_reward,global.utility_factor,utility.acc_beta,utility.auc_beta,utility.f1_macro_beta,utility.f1_minority_beta,fairness.bce_mean_beta,fairness.dp_diff,fairness.eo_alpha_baseline,fairness.eo_tpr_diff,fairness.eod_avg_diff,fairness.eod_max_diff,fairness.group_loss_beta_g0,fairness.group_loss_beta_g1,fairness.group_loss_gap_beta,fairness.n_g0,fairness.n_g1,fairness.soft_eo_beta,fairness.worst_group_beta,fairness.worst_loss_alpha_baseline,fairness.worst_loss_beta,local.anchor_reward_mean,local.anchors_used,local.div_pen_mean,local.hard_reward_mean,local.local_clip_frac_0,local.local_clip_frac_1,local.min_anchor_dist_mean,local.sigma_anchor_used,extra.diag_frac_mid_conf,extra.diag_gen_radius_mean,extra.diag_mean_abs_margin,align.anchor_refresh_count,align.corr_local_delta,align.curriculum_stage,align.delta_global,align.lambda_t,align.ua_warmup_active,meta.avg_reward,meta.episode_return,meta.phase
1,10.67,0.7242271889873237,0.11920292675495148,0.9742561916133136,0.75225430727005,0.6995440609793828,0.5411185026168823,0.2298528403043747,0.5112996697425842,0.10156422898983927,0.1814098209142685,0.13841645518150333,0.10949070492085819,0.13841645518150333,0.12174305319786072,2.054260015487671,1.9325169622898102,915,3521,0.16674596071243286,1,2.1606128215789795,2.054260015487671,0.06211981549859047,664,0.009001958183944225,0.8028724789619446,0.0,0.0,2.1116607189178467,0.85,0.017000000923871994,2.870901107788086,0.37206196784973145,0,,0,-2.054260015487671,1.0,0,0.00036211361293680966,0.7242271900177002,phase1_class1
2,14.12,0.7978500826589953,0.11920292675495148,0.9871259413163858,0.7549594640731812,0.7087849126655978,0.55318284034729,0.2529209554195404,0.5051959753036499,0.11227032807060836,0.1814098209142685,0.17360945584049578,0.1294498974029112,0.17360945584049578,0.11980786919593811,2.0167412757873535,1.8969334065914154,915,3521,0.17606569826602936,1,2.1606128215789795,2.0167412757873535,0.07089607417583466,664,0.012744485400617123,0.8556865453720093,0.0,0.0,2.047497034072876,0.85,0.0,2.8884005546569824,0.4061962962150574,0,,0,-2.0167412757873535,1.0,0,0.00039892506902106106,0.7978500723838806,phase1_class1
3,17.5,0.810883239807797,0.11920292675495148,0.9846623796227527,0.7549594640731812,0.7070160042753073,0.5521926283836365,0.2508614659309387,0.5063208937644958,0.11251119357236751,0.1814098209142685,0.17156237293363805,0.12882363929700769,0.17156237293363805,0.1228964775800705,2.0065789222717285,1.883682444691658,915,3521,0.17870593070983887,1,2.1606128215789795,2.0065789222717285,0.06370467692613602,664,0.011102840304374695,0.8087704181671143,0.0,0.0,2.0602221488952637,0.85,0.014500000514090061,2.893467903137207,0.37571144104003906,0,,0,-2.0065789222717285,1.0,0,0.00040544162038713694,0.8108832240104675,phase1_class1
4,20.92,0.8966984585620592,0.11920292675495148,0.9736302142581814,0.7569882869720459,0.6990945911737405,0.5526691675186157,0.25034770369529724,0.5101894736289978,0.10468834145788812,0.1814098209142685,0.15479311843636517,0.11669633214577338,0.15479311843636517,0.1365404725074768,1.9150327444076538,1.778492271900177,915,3521,0.1607198715209961,1,2.1606128215789795,1.9150327444076538,0.06185431033372879,664,0.011734819039702415,0.7978004813194275,0.0,0.0,2.1113481521606445,0.85,0.01100000087171793,2.873776912689209,0.36859241127967834,0,,0,-1.9150327444076538,1.0,0,0.00044834925211034715,0.8966984748840332,phase1_class1
5,24.29,0.831015314411342,0.11920292675495148,0.9839181011654617,0.7554103136062622,0.7064815908643434,0.5500167608261108,0.24600417912006378,0.5064013004302979,0.10634925808148765,0.1814098209142685,0.16644466566649374,0.12330826928285024,0.16644466566649374,0.12832504510879517,1.991328239440918,1.8630031943321228,915,3521,0.1671725958585739,1,2.1606128215789795,1.991328239440918,0.07324803620576859,664,0.010308599099516869,0.8411968350410461,0.0,0.0,2.04426908493042,0.85,0.0005000000237487257,2.889406442642212,0.3967778980731964,0,,0,-1.991328239440918,1.0,0,0.00041550767491571605,0.8310152888298035,phase1_class1
6,27.63,0.8296785100054562,0.11920292675495148,0.9800400186774719,0.7529305815696716,0.703697015723005,0.55219966173172,0.25238746404647827,0.508813202381134,0.11677134693788868,0.1814098209142685,0.17463299729392465,0.13271744204318875,0.17463299729392465,0.125080868601799,1.989813208580017,1.864732339978218,915,3521,0.16931143403053284,1,2.1606128215789795,1.989813208580017,0.05670285224914551,664,0.010982769541442394,0.8256844878196716,0.0,0.0,2.1346144676208496,0.85,0.0,2.877068519592285,0.3866949677467346,0,,0,-1.989813208580017,1.0,0,0.0004148392763454467,0.8296785354614258,phase1_class1
7,30.96,0.7414363158038288,0.11920292675495148,0.9791445341756998,0.7538322806358337,0.7030540320085505,0.5331244468688965,0.21212121844291687,0.5091018676757812,0.09267362258921102,0.1814098209142685,0.12101625047321266,0.09765435165170067,0.12101625047321266,0.11676464229822159,2.046858310699463,1.9300936684012413,915,3521,0.16085879504680634,1,2.1606128215789795,2.046858310699463,0.09249873459339142,664,0.011016249656677246,0.7549479007720947,0.0,0.0,1.9499132633209229,0.85,0.05650000274181366,2.888295888900757,0.3426423668861389,0,,0,-2.046858310699463,1.0,0,0.00037071818951517344,0.7414363622665405,phase1_class1
8,34.29,0.8543449194462914,0.11920292675495148,0.9744465702081785,0.751803457736969,0.699680758304503,0.5444015860557556,0.23700621724128723,0.5086458921432495,0.10886220537819143,0.1814098209142685,0.1455812453555054,0.1164226981494508,0.1455812453555054,0.12689776718616486,1.9644131660461426,1.8375153988599777,915,3521,0.16726499795913696,1,2.1606128215789795,1.9644131660461426,0.05471815913915634,664,0.010222859680652618,0.8546634912490845,0.0,0.0,2.147270679473877,0.85,0.0,2.883091926574707,0.40553125739097595,0,,0,-1.9644131660461426,1.0,0,0.00042717246105894446,0.85434490442276,phase1_class1
9,37.62,0.8229570320878765,0.11920292675495148,0.9819551646657327,0.7531560063362122,0.70507214581048,0.5660122036933899,0.281024307012558,0.5080695748329163,0.13020611692840617,0.1814098209142685,0.18959352785294653,0.14491048686825608,0.18959352785294653,0.12874813377857208,1.9962116479873657,1.8674635142087936,915,3521,0.18827977776527405,1,2.1606128215789795,1.9962116479873657,0.053309276700019836,664,0.009821692481637001,0.8112854361534119,0.0,0.0,2.136781930923462,0.85,0.011500000953674316,2.8890655040740967,0.3773355484008789,0,,0,-1.9962116479873657,1.0,0,0.00041147854062728584,0.8229570388793945,phase1_class1
10,40.95,0.6439859127203311,0.11920292675495148,0.9760596958329808,0.7545085549354553,0.7008390290552133,0.545293927192688,0.23686052858829498,0.5138101577758789,0.10431804178830219,0.1814098209142685,0.15825633403906283,0.11921830505565385,0.15825633403906283,0.11538244038820267,2.0943808555603027,1.9789984151721,915,3521,0.17395763099193573,1,2.1606128215789795,2.0943808555603027,0.06943275034427643,664,0.010338949039578438,0.8139582872390747,0.0,0.0,2.053159475326538,0.85,0.014000000432133675,2.8914737701416016,0.3790729343891144,0,,0,-2.0943808555603027,1.0,0,0.0003219929931219667,0.64398592710495,phase1_class1
