dataset,method,seed,roc_auc,eo_tpr_diff
Census,Alpha,0,0.8854664758031738,0.30386415123939514
Census,RL (ours),0,0.8788120657779623,0.02115875482559204
Census,Alpha,1,0.8920840042306574,0.3481949716806412
Census,RL (ours),1,0.882984682234913,0.011287093162536621
Census,Alpha,2,0.8936874721000264,0.3345620036125183
Census,RL (ours),2,0.8909533848931211,0.0017921924591064453
Census,Alpha,3,0.8888927909260103,0.3608211278915405
Census,RL (ours),3,0.8806830354348398,0.08212310075759888
Census,Alpha,42,0.8888938194964647,0.38671712577342987
Census,RL (ours),42,0.8651889439843469,0.020996034145355225
Capture-24,Alpha,0,0.832016331864808,0.3599153161048889
Capture-24,RL (ours),0,0.9433599192211435,0.04457932710647583
Capture-24,Alpha,1,0.7997774554587259,0.043706466211006045
Capture-24,RL (ours),1,0.9398761674604778,0.05112874507904053
Capture-24,Alpha,2,0.7740772726388407,0.0015934441471472383
Capture-24,RL (ours),2,0.9359644888103621,0.11989474296569824
Capture-24,Alpha,3,0.921757283943698,0.0014028847217559814
Capture-24,RL (ours),3,0.9541597100376764,0.07189273834228516
Capture-24,Alpha,4,0.8779371992720421,0.33287997357547283
Capture-24,RL (ours),4,0.9534258596264698,0.05778402090072632
Census,GroupDRO,0,0.8804,0.0233
Census,GroupDRO,1,0.8818,0.0947
Census,GroupDRO,2,0.8941,0.0707
Census,GroupDRO,3,0.8778,0.0358
Census,GroupDRO,42,0.8826,0.0604
Census,OT Repair,0,0.8511,0.157
Census,OT Repair,1,0.857,0.1405
Census,OT Repair,2,0.8588,0.2172
Census,OT Repair,3,0.8516,0.191
Census,OT Repair,42,0.8565,0.1065
Census,FLB,0,0.8512,0.1707
Census,FLB,1,0.8586,0.2941
Census,FLB,2,0.8693,0.2075
Census,FLB,3,0.8695,0.3664
Census,FLB,42,0.8667,0.1976
Census,FairTabDDPM,0,0.856,0.0869
Census,FairTabDDPM,1,0.865,0.0581
Census,FairTabDDPM,2,0.8773,0.0561
Census,FairTabDDPM,3,0.867,0.156
Census,FairTabDDPM,42,0.88,0.0456
Census,SMOTE,0,0.8571,0.2926
Census,SMOTE,1,0.8441,0.2904
Census,SMOTE,2,0.88,0.2577
Census,SMOTE,3,0.875,0.2895
Census,SMOTE,42,0.8542,0.2945
Census,CTGAN,0,0.8445,0.2265
Census,CTGAN,1,0.8488,0.2777
Census,CTGAN,2,0.8661,0.2464
Census,CTGAN,3,0.8636,0.2487
Census,CTGAN,42,0.8619,0.3502
Capture-24,GroupDRO,0,0.9354,0.1533
Capture-24,GroupDRO,1,0.8913,0.1485
Capture-24,GroupDRO,2,0.9265,0.1249
Capture-24,GroupDRO,3,0.9579,0.0752
Capture-24,GroupDRO,4,0.954,0.1073
Capture-24,OT Repair,0,0.9402,0.4017
Capture-24,OT Repair,1,0.8572,0.0477
Capture-24,OT Repair,2,0.8944,0.0272
Capture-24,OT Repair,3,0.945,0.0229
Capture-24,OT Repair,4,0.9316,0.3818
Capture-24,FLB,0,0.895,0.35
Capture-24,FLB,1,0.8636,0.2343
Capture-24,FLB,2,0.8298,0.214
Capture-24,FLB,3,0.9497,0.0534
Capture-24,FLB,4,0.9324,0.2442
Capture-24,FairTabDDPM,0,0.9425,0.1576
Capture-24,FairTabDDPM,1,0.894,0.2578
Capture-24,FairTabDDPM,2,0.9166,0.2914
Capture-24,FairTabDDPM,3,0.9507,0.0202
Capture-24,FairTabDDPM,4,0.9447,0.1115
Capture-24,SMOTE,0,0.9181,0.1791
Capture-24,SMOTE,1,0.8863,0.3645
Capture-24,SMOTE,2,0.863,0.2728
Capture-24,SMOTE,3,0.9483,0.2022
Capture-24,SMOTE,4,0.9363,0.4067
Capture-24,CTGAN,0,0.9403,0.2539
Capture-24,CTGAN,1,0.9172,0.2643
Capture-24,CTGAN,2,0.9026,0.0268
Capture-24,CTGAN,3,0.952,0.0133
Capture-24,CTGAN,4,0.9376,0.0814
