[validate_spec] experiment_specs/capture24/paper_final_fold0.yaml: OK
[main] spec=paper_final_fold0.yaml device=cuda:1
[main] exp_group=SPEC_paper_final_fold0_ca8c4cff__G202606031753
[main] seeds=[42]
[Training Process 0] ---- running seed=42 ----
FFNN Using device: cuda:1
FFNN Using device: cuda:1
[Tracker Process 0] SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9
[Tracker Process 0] seed dir: training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42
[Tracker Process 0] metrics:  training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/metrics.csv
[capture24-kfold] 992,430 windows, fold 0/5
[TRAIN] n=4,000  pos=150 (3.8%)  female=1,927  f_pos=60  m_pos=90
[VAL] n=4,000  pos=142 (3.5%)  female=2,276  f_pos=85  m_pos=57
[TEST] n=108,395  pos=3,840 (3.5%)  female=61,677  f_pos=2,300  m_pos=1,540
fold 0 | held_out=[np.int64(17), np.int64(2), np.int64(12), np.int64(13), np.int64(29), np.int64(26), np.int64(22), np.int64(36)] | dim=15
FFNN Using device: cuda:1
FFNN Using device: cuda:1
Beta trains with: 80.0% real, 20.0% synthetic
[alpha Process 0] disadv_group=1 wgl=2.5809 soft_eo=0.2345
[Tracker Process 0] alpha weights → training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/alpha_state_dict.pt
[Tracker Process 0] alpha config  → training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/ffnn_meta.json

============================================================
[FORGE Process 0] Training | episodes=5000
============================================================
[Tracker Process 0] CSV header: 33 columns
[Tracker Process 0] Ep    1 | WGL_reward=0.1052 | F1w=0.6032 | WGL_beta=3.0091 | EO=0.3449
[Tracker Process 0] new best_phase1_class1 (reward.wgl_reward=0.105193)
[Tracker Process 0] best β_phase1_class1 → training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/best_beta_state_dict_phase1_class1.pt
[Tracker Process 0] Ep    2 | WGL_reward=0.3773 | F1w=0.6424 | WGL_beta=2.6811 | EO=0.1979
[Tracker Process 0] new best_phase1_class1 (reward.wgl_reward=0.377294)
[Tracker Process 0] best β_phase1_class1 → training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/best_beta_state_dict_phase1_class1.pt
[Tracker Process 0] Ep    3 | WGL_reward=0.1255 | F1w=0.6162 | WGL_beta=2.9692 | EO=0.3449
[Tracker Process 0] Ep    4 | WGL_reward=0.0812 | F1w=0.5975 | WGL_beta=3.0662 | EO=0.3216
[Tracker Process 0] Ep    5 | WGL_reward=0.1858 | F1w=0.6242 | WGL_beta=2.8764 | EO=0.3564
[Tracker Process 0] Ep    6 | WGL_reward=0.1345 | F1w=0.6057 | WGL_beta=2.9532 | EO=0.2805
[Tracker Process 0] Ep    7 | WGL_reward=0.0480 | F1w=0.6163 | WGL_beta=3.1782 | EO=0.3975
[Tracker Process 0] Ep    8 | WGL_reward=0.1697 | F1w=0.6162 | WGL_beta=2.8984 | EO=0.3156
[Tracker Process 0] Ep    9 | WGL_reward=0.1758 | F1w=0.6039 | WGL_beta=2.8900 | EO=0.2863
[Tracker Process 0] Ep   10 | WGL_reward=0.1871 | F1w=0.5963 | WGL_beta=2.8747 | EO=0.2923
[Tracker Process 0] Ep   11 | WGL_reward=0.1218 | F1w=0.6147 | WGL_beta=2.9759 | EO=0.3449
[Tracker Process 0] Ep   12 | WGL_reward=0.3430 | F1w=0.6084 | WGL_beta=2.7109 | EO=0.2570
[Tracker Process 0] Ep   13 | WGL_reward=0.0523 | F1w=0.6008 | WGL_beta=3.1605 | EO=0.2863
[Tracker Process 0] Ep   14 | WGL_reward=0.1162 | F1w=0.6008 | WGL_beta=2.9866 | EO=0.2923
[Tracker Process 0] Ep   15 | WGL_reward=0.1230 | F1w=0.6012 | WGL_beta=2.9737 | EO=0.2980
[Tracker Process 0] Ep   16 | WGL_reward=0.2787 | F1w=0.6123 | WGL_beta=2.7711 | EO=0.2745
[Tracker Process 0] Ep   17 | WGL_reward=0.1490 | F1w=0.5973 | WGL_beta=2.9294 | EO=0.2805
[Tracker Process 0] Ep   18 | WGL_reward=0.1507 | F1w=0.6071 | WGL_beta=2.9267 | EO=0.3098
[Tracker Process 0] Ep   19 | WGL_reward=0.0619 | F1w=0.6220 | WGL_beta=3.1245 | EO=0.2803
