method,dataset,eo_mean,eo_std,auc_mean,auc_std,f1w_mean,f1w_std,dp_mean,dp_std,eod_mean,eod_std
Alpha,Census,0.1961,0.0702,0.8887,0.0027,0.7984,0.0116,0.1161,0.0216,0.1961,0.0702
Alpha,COMPAS,0.0524,0.0175,0.7067,0.0164,0.4532,0.0158,0.0324,0.0169,0.0524,0.0175
Alpha,Capture-24,0.2306,0.1745,0.9078,0.0329,0.9385,0.027,0.0124,0.0041,0.2306,0.1745
GroupDRO,Census,0.1063,0.0225,0.8949,0.004,0.822,0.013,0.2642,0.0253,0.163,0.0297
GroupDRO,COMPAS,0.1559,0.0558,0.6481,0.0562,0.605,0.0477,0.1548,0.0279,0.1673,0.0414
GroupDRO,Capture-24,0.1585,0.0542,0.8911,0.0415,0.9022,0.0226,0.0433,0.0358,0.1585,0.0542
OT Repair,Census,0.0525,0.0458,0.8207,0.0047,0.7913,0.0062,0.0937,0.012,0.0581,0.0392
OT Repair,COMPAS,0.0386,0.0213,0.6999,0.0099,0.4656,0.0175,0.0203,0.0081,0.0386,0.0213
OT Repair,Capture-24,0.0763,0.0754,0.8819,0.0535,0.9424,0.0212,0.0147,0.0123,0.078,0.0735
FLB,Census,0.0334,0.0368,0.8881,0.003,0.8182,0.0095,0.2006,0.0177,0.1075,0.0168
FLB,COMPAS,0.1181,0.0176,0.6577,0.0769,0.6142,0.056,0.0966,0.0327,0.1224,0.0145
FLB,Capture-24,0.1148,0.0509,0.9199,0.0246,0.9007,0.0124,0.0438,0.0298,0.1148,0.0509
FairTabDDPM,Census,0.0578,0.0543,0.8478,0.0075,0.7981,0.0111,0.0991,0.0161,0.0644,0.0478
FairTabDDPM,COMPAS,0.0643,0.0516,0.6809,0.0143,0.483,0.0231,0.0348,0.0247,0.0692,0.0479
FairTabDDPM,Capture-24,0.2472,0.1539,0.9294,0.0183,0.9457,0.0179,0.022,0.0118,0.2472,0.1539
CTGAN,Census,0.1093,0.0495,0.8398,0.0058,0.7918,0.0082,0.1293,0.0189,0.1096,0.0492
CTGAN,COMPAS,0.1581,0.0764,0.6442,0.0119,0.5624,0.013,0.1362,0.047,0.1597,0.0737
CTGAN,Capture-24,0.1879,0.1045,0.9067,0.0302,0.9478,0.0206,0.0162,0.0109,0.1879,0.1045
RL (ours),Census,0.0289,0.0348,0.8814,0.0028,0.8148,0.0072,0.0811,0.0154,0.0325,0.0324
RL (ours),COMPAS,0.0572,0.0218,0.6842,0.0223,0.5258,0.0407,0.0276,0.0154,0.0618,0.0229
RL (ours),Capture-24,0.1263,0.0858,0.8562,0.0638,0.9388,0.0226,0.0099,0.0094,0.1263,0.0858
