method,dataset,seed,eo_tpr_diff,eod_max_diff,eod_avg_diff,dp_diff,tpr_g0,tpr_g1,fpr_g0,fpr_g1,f1_weighted,f1_macro,f1_minority,f1_majority,roc_auc,brier,acc
Alpha,Census,0,0.145830,0.145830,0.083340,0.093792,0.171171,0.317001,0.001570,0.022420,0.783857,0.667107,0.441805,0.892409,0.886956,0.127572,0.819592
Alpha,Census,2,0.301190,0.301190,0.171491,0.142452,0.127490,0.428680,0.002138,0.043931,0.805222,0.707188,0.518004,0.896372,0.892122,0.122404,0.829418
Alpha,Census,3,0.227042,0.227042,0.130922,0.130355,0.195918,0.422961,0.003634,0.038436,0.809745,0.713816,0.528696,0.898937,0.885259,0.121240,0.833564
Alpha,Census,5,0.180923,0.180923,0.106654,0.119388,0.217573,0.398496,0.003648,0.036033,0.804968,0.705468,0.513454,0.897481,0.890601,0.122734,0.830646
Alpha,Census,42,0.125753,0.125753,0.076334,0.094529,0.213115,0.338868,0.004345,0.031260,0.788020,0.676294,0.460690,0.891899,0.888599,0.124782,0.819899
RL (ours),Census,0,0.089207,0.089207,0.047652,0.056333,0.477477,0.388270,0.045003,0.038905,0.803525,0.708025,0.523730,0.892319,0.878027,0.124795,0.824351
RL (ours),Census,2,0.009192,0.016000,0.012596,0.086465,0.462151,0.452959,0.033137,0.049138,0.819728,0.735017,0.571543,0.898490,0.884019,0.121192,0.835867
RL (ours),Census,3,0.008740,0.018153,0.013446,0.092814,0.428571,0.437311,0.024922,0.043075,0.818500,0.731200,0.562731,0.899670,0.880948,0.119602,0.836788
RL (ours),Census,5,0.028735,0.028735,0.023656,0.093335,0.497908,0.469173,0.039604,0.058182,0.820499,0.738262,0.579563,0.896960,0.879484,0.119898,0.834485
RL (ours),Census,42,0.008871,0.010611,0.009741,0.076802,0.426230,0.417358,0.030961,0.041573,0.811808,0.720664,0.544776,0.896552,0.884337,0.125153,0.831414
GroupDRO,Census,0,0.094233,0.137244,0.115739,0.246836,0.671171,0.765405,0.067504,0.204748,0.830827,0.777462,0.674478,0.880445,0.894857,0.120323,0.825119
GroupDRO,Census,2,0.115015,0.124602,0.119808,0.228081,0.641434,0.756449,0.056654,0.181256,0.839072,0.785864,0.683186,0.888543,0.898727,0.116296,0.835099
GroupDRO,Census,3,0.099608,0.182545,0.141077,0.280977,0.718367,0.817976,0.074247,0.256793,0.820579,0.769928,0.672184,0.867672,0.896136,0.125696,0.811454
GroupDRO,Census,5,0.082005,0.186229,0.134117,0.284777,0.769874,0.851880,0.100052,0.286281,0.810491,0.761804,0.667850,0.855759,0.896563,0.134581,0.798864
GroupDRO,Census,42,0.140479,0.184542,0.162511,0.280129,0.684426,0.824906,0.087452,0.271995,0.808924,0.757163,0.657277,0.857050,0.888090,0.131535,0.798250
OT Repair,Census,0,0.003210,0.028228,0.015719,0.089107,0.378378,0.381589,0.041340,0.069568,0.785793,0.683731,0.486772,0.880689,0.817969,0.165206,0.806387
OT Repair,Census,2,0.111666,0.111666,0.073014,0.106855,0.298805,0.410470,0.027793,0.062154,0.795669,0.697281,0.507414,0.887148,0.821983,0.158588,0.816367
OT Repair,Census,3,0.048961,0.048961,0.038006,0.097881,0.375510,0.424471,0.041537,0.068588,0.797869,0.703407,0.521116,0.885698,0.828256,0.158326,0.815446
OT Repair,Census,5,0.084166,0.084166,0.054843,0.099246,0.326360,0.410526,0.039604,0.065124,0.793459,0.695371,0.506083,0.884659,0.818371,0.162270,0.812989
OT Repair,Census,42,0.014649,0.017649,0.016149,0.075456,0.377049,0.391698,0.054861,0.072510,0.783918,0.682788,0.487630,0.877947,0.816680,0.166957,0.802856
FLB,Census,0,0.007534,0.104549,0.056042,0.200642,0.743243,0.735709,0.101518,0.206067,0.817625,0.761220,0.652370,0.870070,0.886479,0.128349,0.810840
FLB,Census,2,0.002515,0.085144,0.043829,0.177815,0.741036,0.743551,0.095136,0.180280,0.831003,0.776946,0.672628,0.881264,0.889931,0.128567,0.825733
FLB,Census,3,0.015241,0.107601,0.061421,0.200138,0.779592,0.764350,0.102804,0.210404,0.823268,0.770069,0.667406,0.872731,0.891343,0.126955,0.815907
FLB,Census,5,0.052805,0.107936,0.080370,0.197094,0.853557,0.800752,0.143304,0.251240,0.806245,0.754726,0.655306,0.854146,0.888985,0.136217,0.795025
FLB,Census,42,0.088939,0.132272,0.110606,0.227547,0.696721,0.785660,0.102662,0.234934,0.813037,0.759078,0.654949,0.863208,0.883782,0.130874,0.804084
FairTabDDPM,Census,0,0.132848,0.132848,0.080001,0.108365,0.270270,0.403118,0.030874,0.058028,0.793946,0.693970,0.501039,0.886901,0.843325,0.158444,0.815600
FairTabDDPM,Census,2,0.095554,0.095554,0.057298,0.082081,0.239044,0.334598,0.018707,0.037748,0.782140,0.669165,0.451148,0.887182,0.838349,0.165549,0.812836
FairTabDDPM,Census,3,0.018673,0.037211,0.027942,0.113312,0.477551,0.496224,0.051921,0.089132,0.810935,0.728970,0.570796,0.887144,0.858286,0.149068,0.821281
FairTabDDPM,Census,5,0.036282,0.036282,0.035563,0.110549,0.435146,0.471429,0.048463,0.083306,0.805749,0.719391,0.552741,0.886042,0.849674,0.154202,0.818363
FairTabDDPM,Census,42,0.005478,0.020087,0.012782,0.081123,0.397541,0.403019,0.038566,0.058653,0.797526,0.700913,0.514472,0.887355,0.849130,0.154072,0.817135
SMOTE,Census,0,0.067608,0.067608,0.037489,0.037516,0.337838,0.270230,0.026164,0.018793,0.773043,0.650879,0.415130,0.886628,0.853951,0.156610,0.810072
SMOTE,Census,2,0.100793,0.100793,0.057481,0.021474,0.378486,0.277693,0.039551,0.025382,0.772688,0.653177,0.422548,0.883807,0.849502,0.154254,0.806541
SMOTE,Census,3,0.100647,0.100647,0.055034,0.040995,0.457143,0.356495,0.049844,0.040424,0.792065,0.689857,0.492619,0.887095,0.859638,0.150717,0.815292
SMOTE,Census,5,0.223827,0.223827,0.127934,0.005334,0.560669,0.336842,0.067744,0.035702,0.789052,0.686035,0.487233,0.884836,0.852850,0.146809,0.811915
SMOTE,Census,42,0.178586,0.178586,0.100887,0.006182,0.463115,0.284528,0.046714,0.023526,0.778587,0.663647,0.441839,0.885455,0.854865,0.152281,0.809919
CTGAN,Census,0,0.091956,0.091956,0.075156,0.133443,0.342342,0.434298,0.024071,0.082427,0.798132,0.704345,0.523357,0.885333,0.847819,0.152703,0.815139
