episode,wall_seconds,global.global_obj,global.local_reward,global.utility_factor,utility.acc_beta,utility.auc_beta,utility.f1_macro_beta,utility.f1_minority_beta,fairness.bce_mean_beta,fairness.dp_diff,fairness.eo_alpha_baseline,fairness.eo_tpr_diff,fairness.eod_avg_diff,fairness.eod_max_diff,fairness.group_loss_beta_g0,fairness.group_loss_beta_g1,fairness.group_loss_gap_beta,fairness.n_g0,fairness.n_g1,fairness.soft_eo_beta,fairness.worst_group_beta,fairness.worst_loss_alpha_baseline,fairness.worst_loss_beta,local.anchor_reward_mean,local.anchors_used,local.div_pen_mean,local.hard_reward_mean,local.local_clip_frac_0,local.local_clip_frac_1,local.min_anchor_dist_mean,local.sigma_anchor_used,extra.diag_frac_mid_conf,extra.diag_gen_radius_mean,extra.diag_mean_abs_margin,align.anchor_refresh_count,align.corr_local_delta,align.curriculum_stage,align.delta_global,align.lambda_t,align.ua_warmup_active,meta.avg_reward,meta.episode_return,meta.phase
1,4.39,0.36936645849683614,0.11920292675495148,0.9727410702210468,0.7423245906829834,0.8201234499080207,0.7274582386016846,0.6638054847717285,0.5142624378204346,0.4712879409351928,0.4133550822734833,0.5226244343891403,0.4107958262789397,0.5226244343891403,0.14520396292209625,2.4162116050720215,2.2710076421499252,276,636,0.40587711334228516,1,2.3671367168426514,2.4162116050720215,0.03876233473420143,984,0.009368488565087318,0.7841514945030212,0.0,0.0,2.291206121444702,0.85,0.04350000247359276,2.8471155166625977,0.3687378168106079,0,,0,-2.4162116050720215,1.0,0,0.00018468324560672045,0.36936646699905396,phase1_class1
2,7.39,0.40977695732487013,0.11920292675495148,0.9745743609779556,0.7412281036376953,0.8216691076233866,0.7297438383102417,0.6740331649780273,0.5084506273269653,0.5313781788351107,0.4133550822734833,0.5579185520361991,0.4647636640563279,0.5579185520361991,0.1133330836892128,2.3992221355438232,2.2858890518546104,276,636,0.4184713065624237,1,2.3671367168426514,2.3992221355438232,0.04694562032818794,984,0.01002582348883152,0.6830251812934875,0.0,0.0,2.2775769233703613,0.85,0.11650000512599945,2.8922653198242188,0.3292655348777771,0,,0,-2.3992221355438232,1.0,0,0.00020488849258981645,0.4097769558429718,phase1_class1
3,10.38,0.07308207947682954,0.11920292675495148,0.9812824019114312,0.7543859481811523,0.8273246945425614,0.7380117177963257,0.6725146174430847,0.5071743726730347,0.4632895816242822,0.4133550822734833,0.5966063348416291,0.4330079767929243,0.5966063348416291,0.12564459443092346,2.6191248893737793,2.493480294942856,276,636,0.4411969482898712,1,2.3671367168426514,2.6191248893737793,0.0439877063035965,984,0.009855825453996658,0.6912006139755249,0.0,0.0,2.257216691970825,0.85,0.1145000085234642,2.8770549297332764,0.3122735917568207,0,,0,-2.6191248893737793,1.0,0,3.654104148154147e-05,0.0730820819735527,phase1_class1
4,13.35,0.1564924015625092,0.11920292675495148,0.9756262491171653,0.7401315569877625,0.8225559604108915,0.7248392701148987,0.6599713563919067,0.51019686460495,0.4733388022969648,0.4133550822734833,0.5167420814479637,0.41144497968195126,0.5167420814479637,0.13922731578350067,2.532660722732544,2.3934334069490433,276,636,0.4272432029247284,1,2.3671367168426514,2.532660722732544,0.043673716485500336,984,0.01097564585506916,0.7088776230812073,0.0,0.0,2.2847280502319336,0.85,0.11400000751018524,2.893054962158203,0.3302268087863922,0,,0,-2.532660722732544,1.0,0,7.824620115570724e-05,0.15649239718914032,phase1_class1
5,16.31,0.8863714139843112,0.11920292675495148,0.9822681713676049,0.75,0.8281558022977089,0.7424647808074951,0.6984127163887024,0.5092981457710266,0.5609105824446268,0.4133550822734833,0.6167420814479638,0.5000843795380812,0.6167420814479638,0.14453424513339996,2.1447503566741943,2.0002161115407944,276,636,0.4160524904727936,1,2.3671367168426514,2.1447503566741943,0.04059295728802681,984,0.009042489342391491,0.7686638832092285,0.0,0.0,2.2767529487609863,0.85,0.03550000116229057,2.852055549621582,0.3822731375694275,0,,0,-2.1447503566741943,1.0,0,0.00044318570871837437,0.886371374130249,phase1_class1
6,19.31,0.8899057549783762,0.11920292675495148,0.9701083444783386,0.7467105388641357,0.817903784074151,0.736796498298645,0.6857142448425293,0.5174626111984253,0.5123051681706317,0.4133550822734833,0.581447963800905,0.4564636283910496,0.581447963800905,0.1568216234445572,2.1264808177948,1.9696591943502426,276,636,0.375971257686615,1,2.3671367168426514,2.1264808177948,0.050585802644491196,984,0.011178035289049149,0.5926832556724548,0.0,0.0,2.242659091949463,0.85,0.13350000977516174,2.883148193359375,0.2906040847301483,0,,0,-2.1264808177948,1.0,0,0.00044495289330370724,0.8899057507514954,phase1_class1
7,22.3,0.5077857603094861,0.11920292675495148,0.9787518595879605,0.7412281036376953,0.825191180122335,0.7202032208442688,0.6435045599937439,0.5030153393745422,0.4390894175553733,0.4133550822734833,0.4667420814479638,0.3704008937709452,0.4667420814479638,0.10809372365474701,2.359609365463257,2.25151564180851,276,636,0.39090555906295776,1,2.3671367168426514,2.359609365463257,0.05317297205328941,984,0.01047001127153635,0.6655445694923401,0.0,0.0,2.229473352432251,0.85,0.10650000721216202,2.8539369106292725,0.3112120032310486,0,,0,-2.359609365463257,1.0,0,0.00025389291113242507,0.5077857971191406,phase1_class1
8,25.25,0.567549987196813,0.11920292675495148,0.9797316182547673,0.7445175647735596,0.8260172201472682,0.7253377437591553,0.6527571082115173,0.5027191042900085,0.4532403609515997,0.4133550822734833,0.5642533936651584,0.4206337875735102,0.5642533936651584,0.09851483255624771,2.3351502418518066,2.236635409295559,276,636,0.3728281855583191,1,2.3671367168426514,2.3351502418518066,0.04061510041356087,984,0.012440213933587074,0.7657761573791504,0.0,0.0,2.311060667037964,0.85,0.05950000137090683,2.8835580348968506,0.3535861372947693,0,,0,-2.3351502418518066,1.0,0,0.0002837750071194023,0.567550003528595,phase1_class1
9,28.19,0.5287557011743577,0.11920292675495148,0.9804769561362647,0.75,0.8266456186938432,0.7371026873588562,0.6788732409477234,0.50718092918396,0.5093656002187585,0.4133550822734833,0.6289592760180995,0.47811261509259717,0.6289592760180995,0.11672185361385345,2.3513906002044678,2.2346687465906143,276,636,0.4268440008163452,1,2.3671367168426514,2.3513906002044678,0.0549875944852829,984,0.009529482573270798,0.5450613498687744,0.0,0.0,2.201911211013794,0.85,0.17800000309944153,2.8814847469329834,0.2662445902824402,0,,0,-2.3513906002044678,1.0,0,0.0002643778861965984,0.5287557244300842,phase1_class1
10,31.15,0.23148219212991555,0.11920292675495148,0.9865598749755812,0.7456140518188477,0.8317741616707293,0.7263457775115967,0.6537314057350159,0.5078052878379822,0.4308859721082855,0.4133550822734833,0.48438914027149316,0.36824148206668894,0.48438914027149316,0.12348584085702896,2.485368490219116,2.3618826493620872,276,636,0.405352383852005,1,2.3671367168426514,2.485368490219116,0.03959736227989197,984,0.01164382416754961,0.6193092465400696,0.0,0.0,2.3092200756073,0.85,0.19450001418590546,2.9015254974365234,0.2821027338504791,0,,0,-2.485368490219116,1.0,0,0.00011574109521461651,0.23148217797279358,phase1_class1
11,34.21,0.08766240988427237,0.11920292675495148,0.978992291162637,0.7445175647735596,0.8253938893309075,0.7285794019699097,0.6628074645996094,0.5019791126251221,0.47949138638228056,0.4133550822734833,0.5936651583710406,0.44864123194474337,0.5936651583710406,0.10365340113639832,2.5990588665008545,2.495405465364456,276,636,0.4359116554260254,1,2.3671367168426514,2.5990588665008545,0.036458201706409454,984,0.009567446075379848,0.7619116306304932,0.0,0.0,2.3359901905059814,0.85,0.0690000057220459,2.8809268474578857,0.35230931639671326,0,,0,-2.5990588665008545,1.0,0,4.3831209040945396e-05,0.08766241371631622,phase1_class1
12,37.16,0.8968429730511991,0.11920292675495148,0.9781928561768374,0.7489035129547119,0.8247198812124037,0.733238935470581,0.6685962080955505,0.508551836013794,0.46910035548263607,0.4133550822734833,0.5196832579185521,0.4046815734665209,0.5196832579185521,0.13681118190288544,2.127124547958374,1.9903133660554886,276,636,0.36019206047058105,1,2.3671367168426514,2.127124547958374,0.029755868017673492,984,0.008818130940198898,0.7916567921638489,0.0,0.0,2.396472215652466,0.85,0.06599999964237213,2.898517608642578,0.3731578290462494,0,,0,-2.127124547958374,1.0,0,0.00044842148781754076,0.8968429565429688,phase1_class1
13,40.16,0.91335395141653,0.11920292675495148,0.9787398380092267,0.7456140518188477,0.8251810446619064,0.7350629568099976,0.682191789150238,0.5108022689819336,0.5096390484003281,0.4133550822734833,0.5726244343891402,0.4522638151803886,0.5726244343891402,0.14431238174438477,2.103455066680908,1.9591426849365234,276,636,0.3792113661766052,1,2.3671367168426514,2.103455066680908,0.03971201553940773,984,0.009509541094303131,0.6978694200515747,0.0,0.0,2.318239212036133,0.85,0.10200000554323196,2.8733742237091064,0.3292977511882782,0,,0,-2.103455066680908,1.0,0,0.0004566769930534065,0.9133539199829102,phase1_class1
14,43.15,0.8332532501404138,0.11920292675495148,0.979972049829444,0.7510964870452881,0.8262199293558409,0.7391721606254578,0.6834030747413635,0.508692741394043,0.46841673502871206,0.4133550822734833,0.5608597285067873,0.41681744004211013,0.5608597285067873,0.16465339064598083,2.1934547424316406,2.02880135178566,276,636,0.39283064007759094,1,2.3671367168426514,2.1934547424316406,0.03467264771461487,984,0.006873747333884239,0.6918908953666687,0.0,0.0,2.338628053665161,0.85,0.0950000062584877,2.879532814025879,0.3386516273021698,0,,0,-2.1934547424316406,1.0,0,0.00041662665898911655,0.8332532644271851,phase1_class1
15,46.11,0.8611454613610359,0.11920292675495148,0.97086570393857,0.734649121761322,0.8185423180811547,0.7248628735542297,0.6729729771614075,0.5094327330589294,0.5305578342904019,0.4133550822734833,0.5726244343891402,0.47274603694588035,0.5726244343891402,0.14916951954364777,2.1611037254333496,2.011934205889702,276,636,0.38860559463500977,1,2.3671367168426514,2.1611037254333496,0.04522956162691116,984,0.010208459571003914,0.8307085633277893,0.0,0.0,2.3306655883789062,0.85,0.04700000211596489,2.8597238063812256,0.3912329375743866,0,,0,-2.1611037254333496,1.0,0,0.00043057274888269603,0.8611454367637634,phase1_class1
16,49.08,0.634491876101303,0.11920292675495148,0.9848287676379102,0.7620614171028137,0.8303146553690068,0.7501662969589233,0.695652186870575,0.5036843419075012,0.514082581350834,0.4133550822734833,0.569683257918552,0.44530817915966653,0.569683257918552,0.11657021194696426,2.307743787765503,2.1911735758185387,276,636,0.4140962064266205,1,2.3671367168426514,2.307743787765503,0.04768459126353264,984,0.01175491139292717,0.6125777959823608,0.0,0.0,2.2227773666381836,0.85,0.15400001406669617,2.891134738922119,0.29315996170043945,0,,0,-2.307743787765503,1.0,0,0.0003172459255438298,0.6344918012619019,phase1_class1
17,52.03,0.06290140830462136,0.11920292675495148,0.9852314905254934,0.7456140518188477,0.8306541932933659,0.7234847545623779,0.6452600359916687,0.5076212882995605,0.42131528575334976,0.4133550822734833,0.5407239819004526,0.3900760491148548,0.5407239819004526,0.1055927649140358,2.6356701850891113,2.5300774201750755,276,636,0.425193727016449,1,2.3671367168426514,2.6356701850891113,0.044311922043561935,984,0.011486400850117207,0.7331244349479675,0.0,0.0,2.2794179916381836,0.85,0.09000000357627869,2.8728525638580322,0.35068416595458984,0,,0,-2.6356701850891113,1.0,0,3.1450705137103796e-05,0.06290140748023987,phase1_class1
