pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,target
0.2,-0.2,0.2,0.057709914,-0.2,0.2,0.14358015,0.2,-0.2,0.107493244,1
0.32881683,-0.4,0.0,-0.14229009,-0.4,0.4,0.34358016,0.4,0.0,-0.09250676,1
0.12881683,-0.2,-0.08682853,0.057709917,-0.2,0.58810353,0.43919128,0.6,-0.07031215,-0.29250675,1
0.32881683,-0.34445623,-0.15443602,-0.14229009,-0.1645088,0.38810354,0.63919127,0.40000004,-0.27031216,-0.49250674,1
0.26394907,-0.42212513,0.04556398,-0.3081901,-0.3645088,0.58810353,0.43919128,0.20000003,-0.1916202,-0.29250675,1
0.16907239,-0.62212515,0.24556398,-0.37210837,-0.1645088,0.7881035,0.33778366,2.9802322e-08,0.008379802,-0.45720887,1
0.36907238,-0.82212514,0.44556397,-0.5721084,0.0354912,0.9881035,0.13778366,0.20000003,-0.1916202,-0.65720886,1
0.341457,-0.9002726,0.55552053,-0.3721084,-0.1645088,1.1881036,-0.06221634,2.9802322e-08,0.008379802,-0.5687865,1
0.541457,-1.0072672,0.5108588,-0.1721084,-0.3645088,1.1622127,0.13778366,-0.19999997,0.2083798,-0.7687865,1
0.341457,-0.80726725,0.3108588,-0.300142,-0.1645088,1.3622128,-0.06221634,2.9802322e-08,0.008379802,-0.9687865,1
0.541457,-1.0072672,0.3597322,-0.371449,0.0354912,1.1622127,0.13778366,-0.19999997,0.11358007,-0.7687865,1
0.741457,-1.2072673,0.15973221,-0.571449,-0.1645088,1.0879914,0.33778366,2.9802322e-08,0.31358007,-0.9687865,1
0.541457,-1.4072673,-0.040267795,-0.59149134,0.0354912,0.88799137,0.19667636,-0.19999997,0.18943925,-0.7687865,1
0.49337208,-1.415796,-0.2402678,-0.39149135,-0.1645088,1.0879914,0.39667636,-0.39999998,0.38943925,-0.5687865,1
0.3578843,-1.215796,-0.4402678,-0.59149134,-0.19536665,0.88799137,0.59667635,-0.59999996,0.18943925,-0.4668657,1
0.31625918,-1.015796,-0.6402678,-0.6997128,-0.39536667,0.6879914,0.39667636,-0.79999995,-0.010560751,-0.3552593,1
0.5162592,-1.215796,-0.4402678,-0.49971282,-0.19536667,0.5415107,0.19667636,-0.99999994,0.18943925,-0.5552593,1
0.3162592,-1.4075196,-0.2402678,-0.52008975,-0.39536667,0.45564872,0.3605733,-0.79999995,0.3852378,-0.7552593,1
0.1162592,-1.4456607,-0.040267795,-0.32008976,-0.19536667,0.6556487,0.38599798,-0.99999994,0.24031378,-0.64426845,1
-0.0837408,-1.6456608,0.15973221,-0.120089754,0.0046333373,0.45564872,0.18599798,-1.1999999,0.23580448,-0.44426847,1
0.1162592,-1.4456607,0.3597322,0.07991025,-0.19536667,0.25564873,0.38599798,-1.282393,0.4358045,-0.3679841,1
0.3162592,-1.2456607,0.5597322,0.27991027,-0.39536667,0.20467675,0.18599798,-1.0823929,0.6358045,-0.16798408,1
0.5162592,-1.4456607,0.7597322,0.47991025,-0.59536666,0.38958424,0.38599798,-0.90994215,0.4358045,-0.3679841,1
0.7162592,-1.6456608,0.5597322,0.27991027,-0.79536664,0.18958424,0.18599798,-1.1099422,0.6358045,-0.5679841,1
0.5162592,-1.8456608,0.3597322,0.22254291,-0.59536666,-0.010415763,0.34698266,-0.9099422,0.7659178,-0.7679841,1
0.5986588,-2.0456607,0.5597322,0.42254293,-0.39536667,0.18958424,0.54698265,-0.7099422,0.96591777,-0.9679841,1
0.3986588,-2.2456608,0.7597322,0.6225429,-0.19536667,0.38958424,0.34698266,-0.50994223,0.7659178,-0.7679841,1
0.19865881,-2.0456607,0.9597322,0.6861977,0.0046333373,0.58958423,0.54698265,-0.30994225,0.96591777,-0.5679841,1
0.3986588,-1.8456607,0.7597322,0.8861977,-0.19536667,0.38958424,0.74698263,-0.36936373,1.1659178,-0.7679841,1
0.5986588,-1.6456606,0.9317797,1.0861977,-0.39536667,0.18958424,0.7557268,-0.16936372,1.3659178,-0.9679841,1
0.3986588,-1.4456606,0.7317797,1.1516399,-0.19536667,0.38958424,0.9557268,-0.36936373,1.5659178,-0.7679841,1
0.19865881,-1.6456606,0.9317797,0.95163995,-0.39536667,0.18958424,0.7557268,-0.16936372,1.4327805,-0.5679841,1
0.3986588,-1.4456606,1.1317797,1.1516399,-0.33624396,-0.010415763,0.89934325,-0.36936373,1.6327806,-0.36798412,1
0.19865881,-1.2456605,0.9442644,1.3123007,-0.536244,-0.21041577,1.0993433,-0.5693637,1.4327805,-0.16798411,1
0.3986588,-1.0835435,1.1442645,1.5123007,-0.336244,-0.010415763,1.2993433,-0.36936373,1.2327805,-0.36798412,1
0.54373044,-1.1657754,0.8726611,1.5551931,-0.4870423,-0.19110961,1.361775,-0.5171232,1.3013195,-0.27595046,1
0.7418458,-0.9633281,1.069943,1.3953849,-0.28631493,-0.17804708,1.5578175,-0.53530544,1.2637345,-0.075757995,1
0.8917699,-0.72274363,1.2024229,1.1318289,-0.1116653,-0.35794714,1.6643581,-0.550261,1.3093995,-0.1659255,1
