method,fold,alpha_f1_minority,alpha_f1_majority,alpha_f1_weighted,alpha_f1_macro,alpha_brier,alpha_acc,alpha_auc,alpha_dp_diff,alpha_eo_tpr_diff,alpha_eod_fpr_diff,alpha_eod_max_diff,alpha_eod_avg_diff,alpha_dp_rate_g0,alpha_dp_rate_g1,alpha_tpr_g0,alpha_tpr_g1,alpha_fpr_g0,alpha_fpr_g1,beta_f1_minority,beta_f1_majority,beta_f1_weighted,beta_f1_macro,beta_brier,beta_acc,beta_auc,beta_dp_diff,beta_eo_tpr_diff,beta_eod_fpr_diff,beta_eod_max_diff,beta_eod_avg_diff,beta_dp_rate_g0,beta_dp_rate_g1,beta_tpr_g0,beta_tpr_g1,beta_fpr_g0,beta_fpr_g1
gaussian_ot_repair,0,0.4835297465324402,0.9837371706962585,0.9660168290138245,0.7336334586143494,0.022267621010541916,0.9684671759605408,0.9609601405958587,0.017819454487995497,0.3841445511010728,0.006469606839734994,0.3841445511010728,0.19530707897040392,0.035767798279035916,0.01794834379104042,0.6467532467532467,0.26260869565217393,0.014940900438266413,0.008471293598531418,0.6025816798210144,0.9861867427825928,0.9725971817970276,0.794384241104126,0.019986048340797424,0.973301351070404,0.9624118897251047,0.005097092745623182,0.03373235460191981,0.003985637675989348,0.03373235460191981,0.01885899613895458,0.028853974913309644,0.033951067658932826,0.5915584415584415,0.5578260869565217,0.009672849617070255,0.013658487293059603
gaussian_ot_repair,1,0.385503351688385,0.9710009098052979,0.9329965114593506,0.678252100944519,0.039920374751091,0.9446156024932861,0.902879789252239,0.008942708082248362,0.07875430685283216,0.008087181530492222,0.07875430685283216,0.04342074419166219,0.02097472591591684,0.0299174339981652,0.21646557842441447,0.29521988527724663,0.01213327341593375,0.004046091885441527,0.44498899579048157,0.9721862077713013,0.9379660487174988,0.7085875868797302,0.03798791766166687,0.9470271468162537,0.9143097244975892,0.017583230659584833,0.1932760850419388,0.008929057750373347,0.1932760850419388,0.10110257139615607,0.02218775911310383,0.03977098977268866,0.20156139105748758,0.3948374760994264,0.014075239134621557,0.00514618138424821
gaussian_ot_repair,2,0.45938819646835327,0.9754499197006226,0.9459031224250793,0.7174190282821655,0.03586564585566521,0.9530326128005981,0.9296036542798362,0.004619281175770585,0.18975442127940184,0.001488187859185905,0.18975442127940184,0.09562130456929388,0.03205998319436365,0.027440702018593065,0.45972938144329895,0.2699749601638971,0.009476012249064308,0.010964200108250213,0.34048306941986084,0.9728625416755676,0.9366560578346252,0.6566728353500366,0.03858773037791252,0.9478700757026672,0.9271990411458844,0.003105209596950334,0.01950421652535314,0.0012177004488308583,0.01950421652535314,0.010360958487091999,0.020150604356538038,0.023255813953488372,0.24645618556701032,0.22695196904165718,0.008200068050357265,0.009417768499188123
gaussian_ot_repair,3,0.4510655999183655,0.9880574345588684,0.9730582237243652,0.7195615172386169,0.017545288428664207,0.9766234755516052,0.9585621166872168,0.005916621387058816,0.09457711157422455,0.002718372031277709,0.09457711157422455,0.04864774180275113,0.011717588625194564,0.01763421001225338,0.29533678756476683,0.3899138991389914,0.003846499505706839,0.006564871536984548,0.465015709400177,0.9877327680587769,0.9731322526931763,0.7263742685317993,0.018478186801075935,0.9760155081748962,0.9519781270087819,0.007801484555531243,0.051517918028921195,0.008799226012352305,0.051517918028921195,0.03015857202063675,0.013029258993686493,0.020830743549217736,0.39961139896373055,0.34809348093480935,0.0023007099847218476,0.011099935997074152
gaussian_ot_repair,4,0.5112748742103577,0.980532169342041,0.9574364423751831,0.745903491973877,0.02755660191178322,0.9625559449195862,0.9522399311419718,0.0213682582483449,0.17240977315781802,0.005120455432416397,0.17240977315781802,0.08876511429511721,0.01704777627041075,0.03841603451875565,0.2957983193277311,0.4682080924855491,0.005765208074692607,0.010885663507109004,0.4901982545852661,0.9798365831375122,0.955737829208374,0.7350174188613892,0.029043786227703094,0.9612075090408325,0.9482421814525426,0.0353054091063022,0.3247170544518385,0.012598710191963238,0.3247170544518385,0.16865788232190088,0.009774276327618051,0.04507968543392025,0.1865546218487395,0.511271676300578,0.0026190030781789424,0.01521771327014218
fairness_loss_balancing,0,0.4835297465324402,0.9837371706962585,0.9660168290138245,0.7336334586143494,0.022267621010541916,0.9684671759605408,0.9609601405958587,0.017819454487995497,0.3841445511010728,0.006469606839734994,0.3841445511010728,0.19530707897040392,0.035767798279035916,0.01794834379104042,0.6467532467532467,0.26260869565217393,0.014940900438266413,0.008471293598531418,0.0,0.981967568397522,0.9471803903579712,0.490983784198761,0.03542378172278404,0.9645740389823914,0.8357119222040232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fairness_loss_balancing,1,0.385503351688385,0.9710009098052979,0.9329965114593506,0.678252100944519,0.039920374751091,0.9446156024932861,0.902879789252239,0.008942708082248362,0.07875430685283216,0.008087181530492222,0.07875430685283216,0.04342074419166219,0.02097472591591684,0.0299174339981652,0.21646557842441447,0.29521988527724663,0.01213327341593375,0.004046091885441527,0.3541666865348816,0.9671576023101807,0.9273686408996582,0.6606621742248535,0.05500549077987671,0.9374939799308777,0.868385711691555,0.0024312940659782407,0.01852974663017176,0.013570598185501756,0.01852974663017176,0.01605017240783676,0.03302828363480023,0.03059698956882199,0.27608232789212206,0.2575525812619503,0.02203569365089555,0.008465095465393795
fairness_loss_balancing,2,0.45938819646835327,0.9754499197006226,0.9459031224250793,0.7174190282821655,0.03586564585566521,0.9530326128005981,0.9296036542798362,0.004619281175770585,0.18975442127940184,0.001488187859185905,0.18975442127940184,0.09562130456929388,0.03205998319436365,0.027440702018593065,0.45972938144329895,0.2699749601638971,0.009476012249064308,0.010964200108250213,0.47772499918937683,0.9693363308906555,0.9411894679069519,0.723530650138855,0.05109256133437157,0.9420735836029053,0.8874478869274633,0.01977706834440813,0.3022370699871632,0.009297700370956796,0.3022370699871632,0.15576738517906,0.06408764785728137,0.04431057951287324,0.6398195876288659,0.3375825176417027,0.033684926845865944,0.024387226474909148
fairness_loss_balancing,3,0.4510655999183655,0.9880574345588684,0.9730582237243652,0.7195615172386169,0.017545288428664207,0.9766234755516052,0.9585621166872168,0.005916621387058816,0.09457711157422455,0.002718372031277709,0.09457711157422455,0.04864774180275113,0.011717588625194564,0.01763421001225338,0.29533678756476683,0.3899138991389914,0.003846499505706839,0.006564871536984548,0.403606116771698,0.9804341197013855,0.9643221497535706,0.6920201182365417,0.03131262958049774,0.9621111750602722,0.9409605423740057,0.017533829140596764,0.17970208847166186,0.022359530488755015,0.17970208847166186,0.10103080948020844,0.026897987023207823,0.04443181616380459,0.5511658031088082,0.3714637146371464,0.012348341871124293,0.03470787235987931
fairness_loss_balancing,4,0.5112748742103577,0.980532169342041,0.9574364423751831,0.745903491973877,0.02755660191178322,0.9625559449195862,0.9522399311419718,0.0213682582483449,0.17240977315781802,0.005120455432416397,0.17240977315781802,0.08876511429511721,0.01704777627041075,0.03841603451875565,0.2957983193277311,0.4682080924855491,0.005765208074692607,0.010885663507109004,0.5566278100013733,0.9784827828407288,0.957720160484314,0.767555296421051,0.036058153957128525,0.958957314491272,0.9423730663466268,0.014418915485424087,0.1495191140039831,0.003631560300361627,0.1495191140039831,0.07657533715217237,0.03636749971396348,0.05078641519938757,0.43487394957983194,0.584393063583815,0.020237751058655464,0.016606190758293837
fairtabddpm,0,0.4835297465324402,0.9837371706962585,0.9660168290138245,0.7336334586143494,0.022267621010541916,0.9684671759605408,0.9609601405958587,0.017819454487995497,0.3841445511010728,0.006469606839734994,0.3841445511010728,0.19530707897040392,0.035767798279035916,0.01794834379104042,0.6467532467532467,0.26260869565217393,0.014940900438266413,0.008471293598531418,0.551068902015686,0.9751585721969604,0.960134744644165,0.7631137371063232,0.03553381562232971,0.9529221653938293,0.9578347719700955,0.03228120840993872,0.10956521739130431,0.026038850668763876,0.10956521739130431,0.0678020340300341,0.051072391797594076,0.0833536002075328,0.75,0.8595652173913043,0.027247775465934748,0.053286626134698624
fairtabddpm,1,0.385503351688385,0.9710009098052979,0.9329965114593506,0.678252100944519,0.039920374751091,0.9446156024932861,0.902879789252239,0.008942708082248362,0.07875430685283216,0.008087181530492222,0.07875430685283216,0.04342074419166219,0.02097472591591684,0.0299174339981652,0.21646557842441447,0.29521988527724663,0.01213327341593375,0.004046091885441527,0.5881991982460022,0.9647068381309509,0.9402678608894348,0.7764530181884766,0.0503198578953743,0.9349856376647949,0.9094278649519135,0.022554004985840134,0.33975779847389154,0.03514974612989624,0.33975779847389154,0.1874537723018939,0.1036759512329945,0.08112194624715437,0.936124911284599,0.5963671128107074,0.0660268344353855,0.03087708830548926
fairtabddpm,2,0.45938819646835327,0.9754499197006226,0.9459031224250793,0.7174190282821655,0.03586564585566521,0.9530326128005981,0.9296036542798362,0.004619281175770585,0.18975442127940184,0.001488187859185905,0.18975442127940184,0.09562130456929388,0.03205998319436365,0.027440702018593065,0.45972938144329895,0.2699749601638971,0.009476012249064308,0.010964200108250213,0.4713704288005829,0.939802885055542,0.9129831194877625,0.7055866718292236,0.07641943544149399,0.8919139504432678,0.9413987286085941,0.11741057591327267,0.052529900544680985,0.1108415866030509,0.1108415866030509,0.08168574357386595,0.08528860448581216,0.20269918039908483,0.810889175257732,0.863419075802413,0.04697175910173528,0.1578133457047862
fairtabddpm,3,0.4510655999183655,0.9880574345588684,0.9730582237243652,0.7195615172386169,0.017545288428664207,0.9766234755516052,0.9585621166872168,0.005916621387058816,0.09457711157422455,0.002718372031277709,0.09457711157422455,0.04864774180275113,0.011717588625194564,0.01763421001225338,0.29533678756476683,0.3899138991389914,0.003846499505706839,0.006564871536984548,0.38904157280921936,0.9680529832839966,0.9518800377845764,0.6785472631454468,0.04366636648774147,0.9392809867858887,0.9476670077068602,0.0638863640418157,0.37832676901898554,0.05362863079828943,0.37832676901898554,0.2159776999086375,0.03975235663442872,0.10363872067624443,0.49805699481865284,0.8763837638376384,0.027033342320481712,0.08066197311877114
fairtabddpm,4,0.5112748742103577,0.980532169342041,0.9574364423751831,0.745903491973877,0.02755660191178322,0.9625559449195862,0.9522399311419718,0.0213682582483449,0.17240977315781802,0.005120455432416397,0.17240977315781802,0.08876511429511721,0.01704777627041075,0.03841603451875565,0.2957983193277311,0.4682080924855491,0.005765208074692607,0.010885663507109004,0.5238432884216309,0.9600986242294312,0.9386271834373474,0.741970956325531,0.0537768118083477,0.9263675808906555,0.9408039019063604,0.0850941590982557,0.19474911351823965,0.06290003182222939,0.19474911351823965,0.1288245726702345,0.06420293882087576,0.14929709791913146,0.7075630252100841,0.9023121387283237,0.03816261628203602,0.1010626481042654
group_dro,0,0.4835297465324402,0.9837371706962585,0.9660168290138245,0.7336334586143494,0.022267621010541916,0.9684671759605408,0.9609601405958587,0.017819454487995497,0.3841445511010728,0.006469606839734994,0.3841445511010728,0.19530707897040392,0.035767798279035916,0.01794834379104042,0.6467532467532467,0.26260869565217393,0.014940900438266413,0.008471293598531418,0.3895825445652008,0.9457278251647949,0.9260258078575134,0.6676551699638367,0.07856659591197968,0.9003182649612427,0.9507990050591394,0.021214603524624287,0.05009599096555617,0.023758497928301828,0.05009599096555617,0.036927244446929,0.13994605933473178,0.1187314558101075,0.9279220779220779,0.8778260869565218,0.11308601531718979,0.08932751738888796
group_dro,1,0.385503351688385,0.9710009098052979,0.9329965114593506,0.678252100944519,0.039920374751091,0.9446156024932861,0.902879789252239,0.008942708082248362,0.07875430685283216,0.008087181530492222,0.07875430685283216,0.04342074419166219,0.02097472591591684,0.0299174339981652,0.21646557842441447,0.29521988527724663,0.01213327341593375,0.004046091885441527,0.49689981341362,0.942785918712616,0.9138436913490295,0.7198428511619568,0.08667618036270142,0.8972561955451965,0.8982530136157353,0.05112978523985247,0.2294635551026114,0.03583640087934861,0.2294635551026114,0.13264997799098,0.11503854067499923,0.1661683259148517,0.9308019872249823,0.7013384321223709,0.07814405854785902,0.11398045942720764
group_dro,2,0.45938819646835327,0.9754499197006226,0.9459031224250793,0.7174190282821655,0.03586564585566521,0.9530326128005981,0.9296036542798362,0.004619281175770585,0.18975442127940184,0.001488187859185905,0.18975442127940184,0.09562130456929388,0.03205998319436365,0.027440702018593065,0.45972938144329895,0.2699749601638971,0.009476012249064308,0.010964200108250213,0.46091434359550476,0.9371016025543213,0.9098378419876099,0.6990079879760742,0.08531791716814041,0.8873470425605774,0.9366185546950226,0.0265890943476651,0.13146397971468193,0.02551959562733966,0.13146397971468193,0.0784917876710108,0.13769310322538944,0.16428219757305454,0.9181701030927835,0.7867061233781015,0.09647839401156856,0.12199798963890822
group_dro,3,0.4510655999183655,0.9880574345588684,0.9730582237243652,0.7195615172386169,0.017545288428664207,0.9766234755516052,0.9585621166872168,0.005916621387058816,0.09457711157422455,0.002718372031277709,0.09457711157422455,0.04864774180275113,0.011717588625194564,0.01763421001225338,0.29533678756476683,0.3899138991389914,0.003846499505706839,0.006564871536984548,0.37845492362976074,0.9565393924713135,0.9403923153877258,0.6674971580505371,0.0677637904882431,0.9187593460083008,0.9637133072015337,0.0381590600401356,0.06716791261176858,0.035776227943204605,0.06716791261176858,0.05147207027748659,0.08384196995400409,0.12200102999413968,0.8510362694300518,0.9182041820418204,0.06255055270962524,0.09832678065282985
group_dro,4,0.5112748742103577,0.980532169342041,0.9574364423751831,0.745903491973877,0.02755660191178322,0.9625559449195862,0.9522399311419718,0.0213682582483449,0.17240977315781802,0.005120455432416397,0.17240977315781802,0.08876511429511721,0.01704777627041075,0.03841603451875565,0.2957983193277311,0.4682080924855491,0.005765208074692607,0.010885663507109004,0.42017215490341187,0.9328587055206299,0.9076255559921265,0.6765154600143433,0.08782180398702621,0.8796530961990356,0.947420831450764,0.06395483442853575,0.07345897896730946,0.046484817069860754,0.07345897896730946,0.05997189801858511,0.1273598012454847,0.19131463567402046,0.842436974789916,0.9158959537572254,0.09841669359364637,0.14490151066350712
ctgan,0,0.4835297465324402,0.9837371706962585,0.9660168290138245,0.7336334586143494,0.022267621010541916,0.9684671759605408,0.9609601356144295,0.017819454487995497,0.3841445511010728,0.006469606839734994,0.3841445511010728,0.19530707897040392,0.035767798279035916,0.01794834379104042,0.6467532467532467,0.26260869565217393,0.014940900438266413,0.008471293598531418,0.5212960243225098,0.9705575704574585,0.9546420574188232,0.7459267973899841,0.044732715934515,0.9445269703865051,0.9476408349672422,0.004391258919143409,0.01625070581592314,0.0015449182885430915,0.01625070581592314,0.008897812052233115,0.07795710432809624,0.08234836324723965,0.8623376623376623,0.8460869565217392,0.05121962016910886,0.05276453845765195
ctgan,1,0.385503351688385,0.9710009098052979,0.9329965114593506,0.678252100944519,0.039920371025800705,0.9446156024932861,0.9028797972900908,0.008942708082248362,0.07875430685283216,0.008087181530492222,0.07875430685283216,0.04342074419166219,0.02097472591591684,0.0299174339981652,0.21646557842441447,0.29521988527724663,0.01213327341593375,0.004046091885441527,0.564060389995575,0.967867910861969,0.9416570067405701,0.765964150428772,0.045353785157203674,0.9401474595069885,0.8936175388800541,0.016908884500202337,0.33743294608410557,0.024106910845391506,0.33743294608410557,0.18076992846474854,0.08041335257807941,0.06350446807787707,0.8158268275372604,0.47839388145315487,0.04715285356615523,0.023045942720763723
ctgan,2,0.45938819646835327,0.9754499197006226,0.9459031224250793,0.7174190282821655,0.03586564213037491,0.9530326128005981,0.9296036764308111,0.004619281175770585,0.18975442127940184,0.001488187859185905,0.18975442127940184,0.09562130456929388,0.03205998319436365,0.027440702018593065,0.45972938144329895,0.2699749601638971,0.009476012249064308,0.010964200108250213,0.5331562161445618,0.9684909582138062,0.9435661435127258,0.7508236169815063,0.04644009843468666,0.9409662485122681,0.8755693390807657,0.046226806165387775,0.42085060640052946,0.03199846661755865,0.42085060640052946,0.22642453650904407,0.09357830780169349,0.047351501636305714,0.8353737113402062,0.41452310493967676,0.054406260632868325,0.022407794015309672
ctgan,3,0.4510655999183655,0.9880574345588684,0.9730582237243652,0.7195615172386169,0.017545288428664207,0.9766234755516052,0.9585621224061692,0.005916621387058816,0.09457711157422455,0.002718372031277709,0.09457711157422455,0.04864774180275113,0.011717588625194564,0.01763421001225338,0.29533678756476683,0.3899138991389914,0.003846499505706839,0.006564871536984548,0.31432098150253296,0.974625289440155,0.9561817049980164,0.644473135471344,0.034176189452409744,0.9510617852210999,0.9134799096062387,0.01554931247333223,0.031611475441179315,0.01761385926911204,0.031611475441179315,0.024612667355145678,0.05115514437118523,0.035605831897853,0.3853626943005181,0.41697416974169743,0.04188011144063988,0.024266252171527843
ctgan,4,0.5112748742103577,0.980532169342041,0.9574364423751831,0.745903491973877,0.02755660191178322,0.9625559449195862,0.9522399364542481,0.0213682582483449,0.17240977315781802,0.005120455432416397,0.17240977315781802,0.08876511429511721,0.01704777627041075,0.03841603451875565,0.2957983193277311,0.4682080924855491,0.005765208074692607,0.010885663507109004,0.37411007285118103,0.9425674676895142,0.9145894050598145,0.6583387851715088,0.07640430331230164,0.8947891592979431,0.9065099258819076,0.014112415656424918,0.14078058969252438,0.004456932530929492,0.14078058969252438,0.07261876111172694,0.11204458900639087,0.1261570046628158,0.5554621848739496,0.696242774566474,0.09409703916600058,0.08964010663507109
smote,0,0.4835297465324402,0.9837371706962585,0.9660168290138245,0.7336334586143494,0.022267621010541916,0.9684671759605408,0.9609601356144295,0.017819454487995497,0.3841445511010728,0.006469606839734994,0.3841445511010728,0.19530707897040392,0.035767798279035916,0.01794834379104042,0.6467532467532467,0.26260869565217393,0.014940900438266413,0.008471293598531418,0.5875598192214966,0.9834573268890381,0.9694322943687439,0.7855085730552673,0.026059206575155258,0.9681904315948486,0.9509230638180861,0.03901454059370239,0.3761490683229814,0.024120430325667592,0.3761490683229814,0.20013474932432448,0.0194999785949741,0.05851451918867649,0.4142857142857143,0.7904347826086957,0.006042764177254416,0.030163194502922007
smote,1,0.385503351688385,0.9710009098052979,0.9329965114593506,0.678252100944519,0.039920371025800705,0.9446156024932861,0.9028797972900908,0.008942708082248362,0.07875430685283216,0.008087181530492222,0.07875430685283216,0.04342074419166219,0.02097472591591684,0.0299174339981652,0.21646557842441447,0.29521988527724663,0.01213327341593375,0.004046091885441527,0.4672369658946991,0.9728102684020996,0.9399937391281128,0.7200236320495605,0.0429556667804718,0.9482611417770386,0.8735647558070587,0.040021018558011934,0.2675557431263375,0.009338155788328764,0.2675557431263375,0.13844694945733313,0.013205171513681172,0.05322619007169311,0.17565649396735272,0.44321223709369023,0.0058579957629838865,0.01519615155131265
smote,2,0.45938819646835327,0.9754499197006226,0.9459031224250793,0.7174190282821655,0.03586564213037491,0.9530326128005981,0.9296036764308111,0.004619281175770585,0.18975442127940184,0.001488187859185905,0.18975442127940184,0.09562130456929388,0.03205998319436365,0.027440702018593065,0.45972938144329895,0.2699749601638971,0.009476012249064308,0.010964200108250213,0.4904181659221649,0.9661048054695129,0.9388696551322937,0.7282614707946777,0.05195383355021477,0.9364374876022339,0.8847421458761315,0.06762055922772284,0.1765953068494629,0.054182706816745765,0.1765953068494629,0.11538900683310432,0.031817594208519165,0.099438153436242,0.43073453608247425,0.6073298429319371,0.010751956447771351,0.06493466326451712
smote,3,0.4510655999183655,0.9880574345588684,0.9730582237243652,0.7195615172386169,0.017545288428664207,0.9766234755516052,0.9585621224061692,0.005916621387058816,0.09457711157422455,0.002718372031277709,0.09457711157422455,0.04864774180275113,0.011717588625194564,0.01763421001225338,0.29533678756476683,0.3899138991389914,0.003846499505706839,0.006564871536984548,0.4039543867111206,0.9822190999984741,0.9660670161247253,0.6930867433547974,0.027717120945453644,0.9654683470726013,0.9405069207902219,0.0415398745172299,0.35206393514712353,0.03185308171059921,0.35206393514712353,0.19195850842886136,0.009391559838402211,0.05093143435563211,0.23834196891191708,0.5904059040590406,0.0030376561517030647,0.034890737862302276
