experiment,config,n_seeds,beta_eo_mean,beta_eo_std,beta_auc_mean,beta_f1w_mean,alpha_eo_mean
grid_stage1,FORGE k0/pca5/ep30/synth40,3,0.0188,0.0222,0.8077,0.7721,0.2908
grid_stage1,FORGE k10/pca5/ep20/synth60,3,0.0223,0.0026,0.8138,0.7585,0.3003
grid_stage1,FORGE k5/pca5/ep20/synth60,3,0.0244,0.0196,0.8055,0.7476,0.3003
grid_stage1,FORGE k10/pca5/ep30/synth60,3,0.0246,0.0167,0.8011,0.7529,0.2908
confirm_stage2,FORGE k5/pca15/ep30/synth60,5,0.0293,0.0122,0.8525,0.7829,0.4331
grid_stage1,FORGE k10/pca5/ep20/synth40,3,0.0295,0.0076,0.8078,0.7604,0.3003
grid_stage1,FORGE k10/pca5/ep30/synth40,3,0.0313,0.0177,0.8027,0.7655,0.2908
grid_stage1,FORGE k5/pca5/ep20/synth40,3,0.0314,0.0049,0.8071,0.7577,0.3003
grid_stage1,FORGE k5/pca5/ep20/synth20,3,0.0315,0.0166,0.8214,0.7818,0.3003
confirm_stage2,FORGE k10/pca10/ep30/synth60,5,0.0330,0.0201,0.8494,0.7726,0.4258
grid_stage1,FORGE k10/pca10/ep30/synth60,3,0.0338,0.0158,0.8538,0.7776,0.4260
grid_stage1,FORGE k5/pca15/ep30/synth60,3,0.0344,0.0128,0.8645,0.7945,0.3982
grid_stage1,FORGE k0/pca5/ep10/synth60,3,0.0350,0.0258,0.8184,0.7578,0.2896
grid_stage1,FORGE k5/pca5/ep30/synth40,3,0.0359,0.0146,0.8149,0.7713,0.2908
grid_stage1,FORGE k0/pca5/ep10/synth40,3,0.0363,0.0208,0.8107,0.7586,0.2896
confirm_stage2,FORGE k10/pca10/ep30/synth40,5,0.0377,0.0321,0.8511,0.7850,0.4258
grid_stage1,FORGE k10/pca5/ep10/synth20,3,0.0384,0.0171,0.8063,0.7735,0.2896
grid_stage1,FORGE k10/pca15/ep10/synth40,3,0.0391,0.0259,0.8582,0.7782,0.3745
grid_stage1,FORGE k0/pca15/ep30/synth60,3,0.0392,0.0305,0.8584,0.7869,0.3982
grid_stage1,FORGE k0/pca5/ep20/synth20,3,0.0393,0.0245,0.8142,0.7797,0.3003
grid_stage1,FORGE k5/pca5/ep30/synth60,3,0.0408,0.0334,0.8098,0.7547,0.2908
grid_stage1,FORGE k0/pca5/ep10/synth20,3,0.0429,0.0257,0.8068,0.7710,0.2896
grid_stage1,FORGE k0/pca5/ep30/synth20,3,0.0429,0.0082,0.8303,0.7911,0.2908
grid_stage1,FORGE k10/pca10/ep10/synth60,3,0.0432,0.0078,0.8646,0.7954,0.3799
grid_stage1,FORGE k10/pca15/ep30/synth60,3,0.0435,0.0207,0.8581,0.7874,0.3982
grid_stage1,FORGE k10/pca5/ep10/synth60,3,0.0437,0.0276,0.8168,0.7535,0.2896
grid_stage1,FORGE k0/pca5/ep30/synth60,3,0.0446,0.0242,0.7973,0.7482,0.2908
grid_stage1,FORGE k0/pca10/ep20/synth40,3,0.0446,0.0415,0.8527,0.7834,0.4222
grid_stage1,FORGE k0/pca5/ep20/synth60,3,0.0459,0.0165,0.8178,0.7558,0.3003
grid_stage1,FORGE k10/pca15/ep20/synth20,3,0.0459,0.0297,0.8636,0.8117,0.3943
grid_stage1,FORGE k10/pca10/ep10/synth20,3,0.0465,0.0307,0.8370,0.7978,0.3799
grid_stage1,FORGE k0/pca5/ep20/synth40,3,0.0467,0.0238,0.8152,0.7578,0.3003
grid_stage1,FORGE k5/pca15/ep10/synth20,3,0.0470,0.0346,0.8507,0.8019,0.3745
grid_stage1,FORGE k5/pca5/ep10/synth40,3,0.0473,0.0202,0.8151,0.7582,0.2896
grid_stage1,FORGE k0/pca10/ep20/synth20,3,0.0481,0.0287,0.8498,0.8036,0.4222
grid_stage1,FORGE k10/pca5/ep30/synth20,3,0.0485,0.0259,0.8254,0.7911,0.2908
grid_stage1,FORGE k0/pca15/ep10/synth20,3,0.0485,0.0184,0.8547,0.8025,0.3745
grid_stage1,FORGE k10/pca5/ep20/synth20,3,0.0489,0.0215,0.8238,0.7873,0.3003
grid_stage1,FORGE k5/pca15/ep20/synth20,3,0.0492,0.0409,0.8635,0.8129,0.3943
grid_stage1,FORGE k0/pca10/ep10/synth20,3,0.0524,0.0397,0.8426,0.8046,0.3799
grid_stage1,FORGE k10/pca10/ep20/synth20,3,0.0532,0.0282,0.8568,0.8133,0.4222
grid_stage1,FORGE k5/pca5/ep10/synth60,3,0.0535,0.0342,0.8152,0.7551,0.2896
baseline,group_dro,5,0.0539,0.0364,0.8869,0.8112,0.3289
grid_stage1,FORGE k0/pca15/ep10/synth40,3,0.0555,0.0377,0.8655,0.7902,0.3745
grid_stage1,FORGE k5/pca5/ep10/synth20,3,0.0556,0.0341,0.8085,0.7714,0.2896
grid_stage1,FORGE k5/pca15/ep20/synth40,3,0.0560,0.0125,0.8623,0.7904,0.3943
grid_stage1,FORGE k5/pca10/ep10/synth20,3,0.0562,0.0332,0.8345,0.7971,0.3799
grid_stage1,FORGE k10/pca5/ep10/synth40,3,0.0566,0.0202,0.8092,0.7555,0.2896
grid_stage1,FORGE k5/pca10/ep10/synth60,3,0.0581,0.0120,0.8612,0.7933,0.3799
grid_stage1,FORGE k10/pca10/ep30/synth40,3,0.0594,0.0232,0.8511,0.7900,0.4260
grid_stage1,FORGE k5/pca10/ep20/synth20,3,0.0597,0.0461,0.8546,0.8100,0.4222
grid_stage1,FORGE k5/pca5/ep30/synth20,3,0.0597,0.0226,0.8253,0.7872,0.2908
grid_stage1,FORGE k0/pca10/ep10/synth40,3,0.0600,0.0135,0.8601,0.7991,0.3799
grid_stage1,FORGE k5/pca10/ep10/synth40,3,0.0615,0.0363,0.8613,0.8010,0.3799
grid_stage1,FORGE k10/pca10/ep20/synth40,3,0.0618,0.0306,0.8527,0.7887,0.4222
grid_stage1,FORGE k0/pca15/ep20/synth60,3,0.0623,0.0239,0.8653,0.7891,0.3943
grid_stage1,FORGE k0/pca15/ep20/synth20,3,0.0630,0.0137,0.8621,0.8110,0.3943
grid_stage1,FORGE k10/pca10/ep10/synth40,3,0.0641,0.0271,0.8564,0.7903,0.3799
