dataset,method,eo_tpr_diff,roc_auc,f1_weighted,dp_diff,eod_max_diff
Census,RL (ours),0.04322473058509213,0.8638974268399876,0.807225227355957,0.1502028139295881,0.060881518268889684
Census,Alpha,0.40590292097760405,0.874505294346007,0.8143256902694702,0.22612729984629798,0.40590292097760405
Census,RL (ours),0.01622239146991622,0.8608974541705741,0.7862693667411804,0.169544864833576,0.07091195065662836
Census,Alpha,0.41616146230007617,0.8800655992848203,0.8178497552871704,0.25501600001006686,0.41616146230007617
Census,RL (ours),0.04364515005514602,0.8686764590492306,0.7899577021598816,0.14334731296085174,0.046980312167435256
Census,Alpha,0.37264903929877524,0.8900732224612752,0.8304671049118042,0.24269103657838187,0.37264903929877524
Census,RL (ours),0.016260104949652576,0.8256944834239994,0.7522673606872559,0.11753120923697907,0.03177667611421628
Census,Alpha,0.4789746135299958,0.8805662192189271,0.8261430263519287,0.2640712377381063,0.4789746135299958
Census,RL (ours),0.027193663827780434,0.8431559362768278,0.7788280248641968,0.18994392276021863,0.10180341998434098
Census,Alpha,0.49186478763836106,0.8743289679823649,0.8195276856422424,0.26444113762393295,0.49186478763836106
Census,OT Repair,0.1426957628790188,0.8587139460341409,0.8016467690467834,0.038071569973837316,0.1426957628790188
Census,OT Repair,0.11934501142421933,0.8626311831410837,0.8112671375274658,0.06949314635825174,0.11934501142421933
Census,OT Repair,0.19541272421199274,0.8631587663149641,0.8121352791786194,0.04577588449778397,0.19541272421199274
Census,OT Repair,0.14639767408878174,0.8570751394227252,0.8050843477249146,0.041021390925381845,0.14639767408878174
Census,OT Repair,0.031105223735678367,0.8699998618776819,0.8230329751968384,0.09778749572429773,0.031105223735678367
Census,FairTabDDPM,0.09092506589682436,0.8717251418766003,0.8110399842262268,0.12987556804574074,0.09092506589682436
Census,FairTabDDPM,0.1312490479817212,0.854407688887413,0.7946287989616394,0.08900586016884632,0.1312490479817212
Census,FairTabDDPM,0.06338886631450635,0.8661227390184676,0.7571370601654053,0.13484841244376483,0.06338886631450635
Census,FairTabDDPM,0.07078428591689123,0.8830467638087788,0.7801744937896729,0.30524594160536245,0.21541383405346123
Census,FairTabDDPM,0.01522318084722718,0.8718252805572853,0.7877761125564575,0.16551037528806378,0.05900714854364464
Census,CTGAN,0.24497839301404006,0.8507702964134336,0.8060778975486755,0.20888735793172233,0.24497839301404006
Census,CTGAN,0.21348819497334354,0.8659337759320979,0.810253381729126,0.25310417812295916,0.21348819497334354
Census,CTGAN,0.14975764787833057,0.8733840056118805,0.817395806312561,0.19809162534598249,0.14975764787833057
Census,CTGAN,0.23513686001985534,0.8666781670639399,0.8135090470314026,0.24621530666358366,0.23513686001985534
Census,CTGAN,0.12682747524065796,0.8691222708719721,0.8272830247879028,0.18684606722777197,0.12682747524065796
Census,GroupDRO,0.09900482346823503,0.881150667645082,0.8049514293670654,0.2383472938437332,0.12926283762055213
Census,GroupDRO,0.014310738766184272,0.8827335641053594,0.8056957721710205,0.23659604347371987,0.1339334498568161
Census,GroupDRO,0.020062982527427886,0.8941478308477682,0.8167083263397217,0.24991030434324196,0.15089363564331487
Census,GroupDRO,0.04084527017444339,0.886053348716829,0.8131861090660095,0.23552059797073982,0.1322078857308968
Census,GroupDRO,0.09532693428024519,0.8906598749669755,0.8155362606048584,0.2640042045446034,0.16077129759390482
Census,FLB,0.14191755276228724,0.8621386448319772,0.8050994277000427,0.20790777271500854,0.14191755276228724
Census,FLB,0.24386138613861386,0.8642776305615907,0.8095093965530396,0.25902223139424707,0.24386138613861386
Census,FLB,0.2423230974632844,0.8700205067560913,0.8171995878219604,0.27324748340156274,0.2423230974632844
Census,FLB,0.32986810381506176,0.8619795102887903,0.81178218126297,0.33047710484845894,0.32986810381506176
Census,FLB,0.2895386578633451,0.8517409730452826,0.6870716214179993,0.04575375949705257,0.2895386578633451
Census,SMOTE,0.2598863167709659,0.8689768750912857,0.7948238253593445,0.010823564007651748,0.2598863167709659
Census,SMOTE,0.2009215536938309,0.863771867775211,0.800808310508728,0.05330488607464323,0.2009215536938309
Census,SMOTE,0.32060138155221457,0.8838661671144866,0.808924674987793,0.014591757708706438,0.32060138155221457
Census,SMOTE,0.19462487590412708,0.873620429877797,0.8010272979736328,0.033536829035963195,0.19462487590412708
