pca_0,pca_1,target
0.08636153,1.987682,1
0.03148488,-0.2818738,1
-0.6263967,1.0531354,1
-0.80500937,-2.042414,1
-1.3758603,-0.21184999,1
1.3563225,-0.4973601,1
-1.8320118,0.10159208,1
0.6745109,1.2234297,1
0.7121724,-0.62799984,1
0.87900484,1.4719422,1
-1.0830494,-0.92682016,1
0.46917567,0.7876879,1
1.1223373,0.35646597,1
0.17428416,2.1710699,1
-1.7367005,1.1472605,1
0.53488314,0.3255896,1
0.26442587,-0.6653795,1
0.30600527,0.14257836,1
-0.49367458,0.43725383,1
1.1497263,-0.57500714,1
-0.76442057,0.30096617,1
0.5489995,-0.027426183,1
-0.41831493,0.27783304,1
-1.0823174,-0.013357833,1
-1.7691102,-1.8952788,1
0.3281178,-1.2641205,1
0.047791675,-0.62867874,1
0.46583444,-0.08043863,1
-1.3119758,0.023209453,1
-0.35991168,-0.14928356,1
-0.6564385,-1.4899068,1
0.56539035,-0.5848254,1
0.8525901,-0.96957725,1
-0.011222102,-1.2433815,1
0.19438642,0.080973595,1
0.040108204,-0.6268134,1
0.62736154,-0.6534166,1
-1.3960193,0.7081194,1
-0.9508261,0.8441229,1
-0.03159102,-0.508386,1
-1.8163608,2.0387118,1
-2.1599743,-0.57113206,1
-1.9216015,-1.3582958,1
-0.33828002,0.31227466,1
-0.8441857,1.247264,1
-1.4857416,1.354636,1
1.2140139,-0.012667671,1
0.77330124,1.670984,1
-0.20847082,-1.2482,1
0.5562246,-0.85676914,1
-0.1979059,-0.3985228,1
-0.20390326,-1.1563436,1
0.93482304,-1.3705565,1
2.2117946,0.33666092,1
-0.07658624,0.89120734,1
-0.7841207,0.60733414,1
0.42763135,-1.098907,1
-0.8387991,0.038346812,1
0.42775643,-0.754948,1
-1.2262682,1.3451508,1
-0.09425465,-0.49035364,1
-0.9181065,-0.9234462,1
0.105069816,-1.5383408,1
-1.1624372,-0.46831864,1
-0.38509628,-2.0720112,1
-0.04697183,-0.3059617,1
0.2733232,-1.0519686,1
-0.9016765,-0.6816561,1
0.82975286,1.0045514,1
0.4671053,-0.62964916,1
1.0760118,-0.7421256,1
0.5580917,0.39964238,1
-1.0771292,0.6751297,1
1.0283997,-1.375393,1
1.1715668,0.94680786,1
0.03852675,0.22861446,1
-0.17519033,0.039883643,1
0.21879852,0.7376207,1
-0.649802,0.3492466,1
-0.59342813,-0.30702955,1
1.4457932,0.13838,1
0.55267787,-2.068574,1
0.46705317,0.78752655,1
1.3642795,-0.599996,1
-1.9284935,-0.034293488,1
1.2492914,0.5566727,1
0.029674739,-0.29788056,1
0.0288551,0.51559436,1
0.91584605,-1.9467583,1
0.060478866,-1.4152143,1
-0.5986216,-1.9090033,1
-2.1676784,-0.49260652,1
1.5352167,-1.7833546,1
-1.5905062,-0.7096839,1
0.09799095,-1.4461432,1
-0.73393154,0.41332936,1
1.0235653,-1.4815962,1
1.2469167,0.58530784,1
1.0943674,0.05827655,1
0.51085997,-0.0061496943,1
0.7288397,-1.0455112,1
1.1416405,-0.4198713,1
1.0229925,0.45970896,1
0.31104225,-0.555514,1
0.16278535,-0.81627715,1
-0.15670721,0.9531944,1
0.17564584,-0.19463599,1
-0.0015388057,-1.2979805,1
1.0558747,-0.76865137,1
0.9698425,-0.1771846,1
-0.9356039,-1.1647531,1
-0.055579387,0.40057743,1
-1.3065767,0.87630606,1
0.15578392,-1.1095417,1
0.5771544,-0.31078035,1
-0.6142927,-0.3236782,1
1.1226728,0.58258873,1
-0.83702403,0.5118225,1
-0.8042151,1.7287251,1
-0.94253314,1.7787201,1
0.39761704,0.34723508,1
0.42101306,0.67847025,1
-0.13616289,-0.9861084,1
0.23565444,1.3251989,1
-0.14877838,0.5410534,1
-1.0066493,-0.11213484,1
0.17757523,0.61788106,1
-1.0735579,0.21521652,1
1.7362536,-1.2268698,1
0.41523582,2.5517013,1
1.8439201,0.0967516,1
0.79133505,1.1504571,1
-0.43809125,0.7103312,1
0.20979932,1.1732861,1
-0.23436306,-1.7357689,1
0.09346107,-1.5481231,1
-0.5050274,0.5382024,1
0.5980719,-0.46679682,1
-0.55376124,-1.5970072,1
1.0860673,0.6367217,1
0.51517344,-0.50520253,1
0.9181807,-1.4452649,1
0.378538,-1.6752716,1
-0.47950575,-1.2179055,1
-1.1852045,-0.79618144,1
0.55857736,-1.0024267,1
-2.2941499,0.024844617,1
-0.08334463,-0.40211827,1
-0.37101945,-1.7382824,1
-0.42463732,0.16174145,1
-0.39423922,0.095522866,1
0.17948033,0.43584955,1
0.20932998,0.11961639,1
-0.045946646,0.098410785,1
0.26837263,-0.10637007,1
-1.7793689,0.7813738,1
-1.596108,0.92340267,1
0.4522906,-0.7726292,1
-0.37197396,-0.32631963,1
-2.466733,-1.6624334,1
0.7449883,-1.4800664,1
-0.7012361,0.11960329,1
-1.1273612,0.90285575,1
-1.3258225,0.4553306,1
2.2927248,-0.66009265,1
-0.42113546,-1.1133382,1
-1.098638,0.81940144,1
-2.5704374,0.43366712,1
0.3347345,2.1194322,1
0.049576722,0.39876986,1
-1.5544357,2.106737,1
-1.0350751,-1.0955877,1
-0.25866374,-0.64840555,1
1.5354404,-1.0103688,1
0.6824963,0.17776191,1
-0.65903854,0.8313305,1
0.42506993,-0.07712273,1
0.12775944,0.45184463,1
-0.9924146,-2.056787,1
2.0798354,-0.8029276,1
0.61564577,-0.7342956,1
-0.3400997,-1.0516694,1
-0.8719568,0.17481941,1
-0.50535357,-0.8107479,1
0.04314865,0.60049826,1
1.5827885,0.9882258,1
0.74823743,-0.327293,1
-2.3313816,-0.10964426,1
-0.46070516,1.521824,1
-1.3211792,-0.91446865,1
-0.30393538,-1.2138723,1
0.009124413,1.3215644,1
1.0370739,-0.8744289,1
-0.18946224,0.9704899,1
-0.81377685,-0.7512739,1
-1.0568371,-1.8558412,1
0.88608277,0.825786,1
0.70785517,0.54482865,1
1.4276787,-0.030431613,1
0.17839614,-0.60300106,1
0.46674114,0.9626855,1
